
--- WINDOW  2026/07/30 18:48:12  [explorer.exe] Program Manager
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:12  [explorer.exe] (untitled)
----------------------------------------------------------------------------
  [LMB]
  [LMB]
  [LMB]
  [LMB]
  [LMB]

--- WINDOW  2026/07/30 18:48:26  (no active window)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:26  [ShellExperienceHost.exe] Windows Shell Experience Host
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:28  [explorer.exe] (untitled)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:28  (no active window)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:28  [SearchHost.exe] Search
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:30  [explorer.exe] (untitled)
----------------------------------------------------------------------------
  [LMB]

--- WINDOW  2026/07/30 18:48:33  [SearchHost.exe] Search
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:41  [explorer.exe] (untitled)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:41  [explorer.exe] System tray overflow window.
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:42  [explorer.exe] (untitled)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:45  (no active window)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:45  [WindowsTerminal.exe] C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:49  [explorer.exe] (untitled)
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:48:56  [chrome.exe] New Tab - Google Chrome
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:49:10  [chrome.exe] YouTube - Google Chrome
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:49:15  [chrome.exe] (2041) YouTube - Google Chrome
----------------------------------------------------------------------------

--- WINDOW  2026/07/30 18:49:18  [chrome.exe] (2041) Stuart Little 2 | Full Hindi-Dubbed Movie | Starring Michael J. Fox, Geena Davis - YouTube - Google Chrome
----------------------------------------------------------------------------
  [LMB]
  [Clipboard]
  {
    "ns": "yt",
    "el": "detailpage",
    "cpn": "xjs7JzneLqWb-B74",
    "ver": 2,
    "cmt": "1097.823",
    "fmt": "397",
    "fs": "1",
    "rt": "825.861",
    "euri": "",
    "lact": 2,
    "cl": "954961526",
    "mos": 0,
    "state": "8",
    "volume": 100,
    "cbr": "Chrome",
    "cbrver": "150.0.0.0",
    "c": "WEB",
    "cver": "2.20260729.00.00",
    "cplayer": "UNIPLAYER",
    "cos": "Windows",
    "cosver": "10.0",
    "cplatform": "DESKTOP",
    "hl": "en_US",
    "cr": "PK",
    "len": "4659.981",
    "fexp": "v1,24004644,15321210,11737789,9105,22730,2821,124674,77203,65,13917,26504,9252,3479,13030,23206,69841,8206,2625,1904,18126,2878,9729,2498,25059,4174,30447,18705,21437,4571,5239,4432,3344,16088,9404,23826,9500,1840,14783,9476,300,6962,9079,5115,13160,451,35511,20589,2364,1835,460,25384,4270,6491,2690,7242,8174,82,29960,7525,366,5666,1168,372,7759,16452,9040,3475,5353,9867,2522,2249,115,72,86,8116,119,3574,11587,1355,109,479,277,4358,5138,7727,2973,6743,1405,11,2198,187,1605,2103,2457,845,884,1977,761,144,652,2,1343,6548,1295,6288,3919,539,2,4,742,8069,7175,458,1455,4313,1584,4008,427,3240,3,12922,6433,165,6099,760",
    "feature": "g-high-rec",
    "afmt": "251",
    "muted": "0",
    "vis": "2",
    "docid": "SqxoQVKwrug",
    "ei": "XVZravrrGYyTv_IPpbCI8Qo",
    "plid": "AAZX1FaTpygq1l-P",
    "referrer": "https://www.youtube.com/",
    "sdetail": "p:/",
    "sourceid": "y",
    "of": "lyDLjjng7LzarBIlThN_1w",
    "vm": "CAEQARgEOjJBSHFpSlRJanI4SUstcGdPMWN3YWFzUENyOUVXUXV5cFU1M2dkcjFGZXg2V1VldzFCd2JoQUxkcUFQSVRhYVFKRHduTDlTaFZ0RFdpTkNwalQ3U0RSbGdnWmQ1bkx3Y09faHpqU0hLUjJEYXhCUm0yRG5TVzhibkxsalgtV2NpRkFqQ3ZaTUlFTU1aUUkyb0R5eGhaSVJHd0hkV0Y",
    "vct": "1097.823",
    "vd": "4659.981",
    "vpl": "900.036-1004.466,1094.494-1097.823",
    "vbu": "900.001-1125.041",
    "vbs": "0.000-4659.981",
    "vpa": "0",
    "vsk": "0",
    "ven": "0",
    "vpr": "1",
    "vrs": "4",
